"ID" "N2" "ICC" "method" "parameter" "est" "se" "ci_l" "ci_u"
2 30 0.1 "MI-R1" "gamma10" 0.199602527868222 0.0686646436294311 0.0644170976144288 0.334787958122016
2 30 0.1 "MI-R1" "gamma01" 0.322771381710608 0.152720216167508 0.0226220455805569 0.622920717840659
2 30 0.1 "MI-a1" "gamma10" 0.199602527868222 0.0686646436294311 0.0637323831842494 0.335472672552195
2 30 0.1 "MI-a1" "gamma01" 0.322771381710608 0.152720216167508 0.00550301039728041 0.640039753023936
2 30 0.1 "MI-R2" "gamma10" 0.194265304353468 0.0730723396195612 0.049698403142558 0.338832205564378
2 30 0.1 "MI-R2" "gamma01" 0.305148336793501 0.163161448470751 -0.0172872743554265 0.627583947942429
2 30 0.1 "MI-a2" "gamma10" 0.194265304353468 0.0730723396195612 0.0488815552918218 0.339649053415114
2 30 0.1 "MI-a2" "gamma01" 0.305148336793501 0.163161448470751 -0.0384937192879483 0.648790392874951
2 30 0.1 "MI-R1" "gamma10" 0.189809068174804 0.0570663650262607 0.0774682252544533 0.302149911095155
2 30 0.1 "MI-R1" "gamma01" 0.430396427373949 0.175515393504943 0.0861032546971378 0.774689600050761
2 30 0.1 "MI-a1" "gamma10" 0.189809068174804 0.0570663650262607 0.0769005541558325 0.302717582193776
2 30 0.1 "MI-a1" "gamma01" 0.430396427373949 0.175515393504943 0.0679286398121735 0.792864214935725
2 30 0.1 "MI-R2" "gamma10" 0.192736222954272 0.0573084932230326 0.0797946002122927 0.305677845696251
2 30 0.1 "MI-R2" "gamma01" 0.499873507990908 0.192046147096124 0.121315059686746 0.87843195629507
2 30 0.1 "MI-a2" "gamma10" 0.192736222954272 0.0573084932230326 0.0792079836401077 0.306264462268436
2 30 0.1 "MI-a2" "gamma01" 0.499873507990908 0.192046147096124 0.0978444481684032 0.901902567813413
2 30 0.1 "MI-R1" "gamma10" 0.221370256739499 0.0716634230978389 0.0795189289233879 0.36322158455561
2 30 0.1 "MI-R1" "gamma01" 0.557766279326137 0.170880985107265 0.221711846960463 0.89382071169181
2 30 0.1 "MI-a1" "gamma10" 0.221370256739499 0.0716634230978389 0.0787093086643613 0.364031204814636
2 30 0.1 "MI-a1" "gamma01" 0.557766279326137 0.170880985107265 0.20215817348349 0.913374385168783
2 30 0.1 "MI-R2" "gamma10" 0.232392640768815 0.0707527369758036 0.0924079100597648 0.372377371477865
2 30 0.1 "MI-R2" "gamma01" 0.58090828036809 0.187384042529374 0.209162692079096 0.952653868657084
2 30 0.1 "MI-a2" "gamma10" 0.232392640768815 0.0707527369758036 0.0916161656166168 0.373169115921013
2 30 0.1 "MI-a2" "gamma01" 0.58090828036809 0.187384042529374 0.182662993713226 0.979153567022953
2 30 0.1 "MI-R1" "gamma10" 0.1392126905434 0.0667757425329926 0.00666202426603921 0.271763356820761
2 30 0.1 "MI-R1" "gamma01" 0.476093266793759 0.15344401786193 0.174884256366754 0.777302277220765
2 30 0.1 "MI-a1" "gamma10" 0.1392126905434 0.0667757425329926 0.00586379556668826 0.272561585520112
2 30 0.1 "MI-a1" "gamma01" 0.476093266793759 0.15344401786193 0.158447901796208 0.793738631791311
2 30 0.1 "MI-R2" "gamma10" 0.152762031143664 0.0585598583747604 0.0377467118484641 0.267777350438864
2 30 0.1 "MI-R2" "gamma01" 0.501131616004449 0.151694582738803 0.202839111597038 0.79942412041186
2 30 0.1 "MI-a2" "gamma10" 0.152762031143664 0.0585598583747604 0.0372040986412459 0.268319963646082
2 30 0.1 "MI-a2" "gamma01" 0.501131616004449 0.151694582738803 0.185535737091938 0.81672749491696
3 60 0.1 "MI-R1" "gamma10" 0.180508595116509 0.0495196273766391 0.082514151937045 0.278503038295973
3 60 0.1 "MI-R1" "gamma01" 0.514626384429077 0.135748022839497 0.246521088256291 0.782731680601864
3 60 0.1 "MI-a1" "gamma10" 0.180508595116509 0.0495196273766391 0.082239012843836 0.278778177389182
3 60 0.1 "MI-a1" "gamma01" 0.514626384429077 0.135748022839497 0.238654648017367 0.790598120840788
3 60 0.1 "MI-R2" "gamma10" 0.189518225248889 0.0482311150172034 0.0943858419573707 0.284650608540406
3 60 0.1 "MI-R2" "gamma01" 0.571482730052779 0.119051532098263 0.337676620917852 0.805288839187705
3 60 0.1 "MI-a2" "gamma10" 0.189518225248889 0.0482311150172034 0.0941366160641812 0.284899834433596
3 60 0.1 "MI-a2" "gamma01" 0.571482730052779 0.119051532098263 0.331776991786181 0.811188468319376
4 15 0.1 "MI-R1" "gamma10" 0.227480296772401 0.0852749417612544 0.0599418292460192 0.395018764298783
4 15 0.1 "MI-R1" "gamma01" 0.288479137608977 0.395200174876546 -0.489387021615793 1.06634529683375
4 15 0.1 "MI-a1" "gamma10" 0.227480296772401 0.0852749417612544 0.0583087779487015 0.3966518155961
4 15 0.1 "MI-a1" "gamma01" 0.288479137608977 0.395200174876546 -0.604593097559564 1.18155137277752
4 15 0.1 "MI-R2" "gamma10" 0.215672085965142 0.0863795492226166 0.045628845049171 0.385715326881112
4 15 0.1 "MI-R2" "gamma01" 0.212178786680051 0.383619822059546 -0.5399764803041 0.964334053664202
4 15 0.1 "MI-a2" "gamma10" 0.215672085965142 0.0863795492226166 0.0438730786353458 0.387471093294938
4 15 0.1 "MI-a2" "gamma01" 0.212178786680051 0.383619822059546 -0.634586144173006 1.05894371753311
2 30 0.1 "MI-R1" "gamma10" 0.19354994600724 0.0707258246725706 0.0530188792567557 0.334081012757724
2 30 0.1 "MI-R1" "gamma01" 0.272048914591634 0.251014057109227 -0.223166929766838 0.767264758950106
2 30 0.1 "MI-a1" "gamma10" 0.19354994600724 0.0707258246725706 0.05215720705923 0.33494268495525
2 30 0.1 "MI-a1" "gamma01" 0.272048914591634 0.251014057109227 -0.254511730612918 0.798609559796187
2 30 0.1 "MI-R2" "gamma10" 0.18728348622961 0.0621182170092755 0.0652968661076907 0.30927010635153
2 30 0.1 "MI-R2" "gamma01" 0.251396348693151 0.236896528778816 -0.214633848021591 0.717426545407894
2 30 0.1 "MI-a2" "gamma10" 0.18728348622961 0.0621182170092755 0.0647243081561774 0.309842664303043
2 30 0.1 "MI-a2" "gamma01" 0.251396348693151 0.236896528778816 -0.242010885760747 0.744803583147049
3 60 0.1 "MI-R1" "gamma10" 0.25747240582303 0.0509564694574927 0.156507652534043 0.358437159112016
3 60 0.1 "MI-R1" "gamma01" 0.365250808374168 0.0982296145693755 0.172416178094769 0.558085438653567
3 60 0.1 "MI-a1" "gamma10" 0.25747240582303 0.0509564694574927 0.156217147005646 0.358727664640413
3 60 0.1 "MI-a1" "gamma01" 0.365250808374168 0.0982296145693755 0.167626002518362 0.562875614229974
3 60 0.1 "MI-R2" "gamma10" 0.245574927849048 0.0519801202496907 0.142261425747581 0.348888429950514
3 60 0.1 "MI-R2" "gamma01" 0.365285106106619 0.101460449730542 0.165962561901975 0.564607650311264
3 60 0.1 "MI-a2" "gamma10" 0.245574927849048 0.0519801202496907 0.141946655623728 0.349203200074367
3 60 0.1 "MI-a2" "gamma01" 0.365285106106619 0.101460449730542 0.160876020207172 0.569694192006067
4 15 0.1 "MI-R1" "gamma10" 0.186081499492015 0.119536635125067 -0.0501820284273012 0.422345027411332
4 15 0.1 "MI-R1" "gamma01" 0.255188231201854 0.241158090551063 -0.21876952011197 0.729145982515678
4 15 0.1 "MI-a1" "gamma10" 0.186081499492015 0.119536635125067 -0.0528592844636998 0.42502228344773
