"ID" "gamma01" "N2" "ICC" "beta" "method" "parameter" "est" "se" "ci_l" "ci_u"
1 0 15 0.1 0 "CD" "gamma10" 0.293815937139927 0.0730781806667232 0.150095609690014 0.437536264732465
1 0 15 0.1 0 "CD" "gamma01" 0.605708138483986 0.214741292837301 0.187407804049101 1.02400847146006
1 0 15 0.1 0 "LD" "gamma10" 0.373025544761465 0.106547820713343 0.162916409736738 0.583134680157256
1 0 15 0.1 0 "LD" "gamma01" 0.481002574095811 0.179797064099765 0.12810635626786 0.827908607259565
1 0 15 0.1 0 "MI-R" "gamma10" 0.360617786142635 0.0986130229034423 0.165098920338957 0.556136651946313
1 0 15 0.1 0 "MI-R" "gamma01" 0.396321561725707 0.191263285031223 0.019882419336069 0.772760704115344
1 0 15 0.1 0 "MI-a" "gamma10" 0.360617786142635 0.0986130229034423 -0.297774400082979 1.01900997236825
1 0 15 0.1 0 "MI-a" "gamma01" 0.396321561725707 0.191263285031223 -0.627638410481484 1.4202815339329
1 0 15 0.1 0 "bayes" "gamma10" 0.368686266591421 0.102925830291974 0.16695534614027 0.570417187042572
1 0 15 0.1 0 "bayes" "gamma01" 0.400675437413653 0.280161378028491 -0.148430773381302 0.949781648208607
2 0.3 15 0.1 0 "CD" "gamma10" 0.360084110842262 0.0644414778129984 0.233349287093251 0.48681893471246
2 0.3 15 0.1 0 "CD" "gamma01" 0.502787073944027 0.223522257080257 0.067382063041042 0.938192083328568
2 0.3 15 0.1 0 "LD" "gamma10" 0.347826576423032 0.0777801659113714 0.194552519480668 0.501100633666583
2 0.3 15 0.1 0 "LD" "gamma01" 0.493904069267909 0.234867702739219 0.0382304699267472 0.953631790289346
2 0.3 15 0.1 0 "MI-R" "gamma10" 0.356468727906178 0.0801904914743173 0.197167980655762 0.515769475156594
2 0.3 15 0.1 0 "MI-R" "gamma01" 0.354084571050668 0.234274026855874 -0.106475438361342 0.814644580462678
2 0.3 15 0.1 0 "MI-a" "gamma10" 0.356468727906178 0.0801904914743173 -0.209517141910417 0.922454597722773
2 0.3 15 0.1 0 "MI-a" "gamma01" 0.354084571050668 0.234274026855874 -0.850990365020638 1.55915950712197
2 0.3 15 0.1 0 "bayes" "gamma10" 0.375498862327258 0.0789191004537394 0.22082026774563 0.530177456908886
2 0.3 15 0.1 0 "bayes" "gamma01" 0.360134950955602 0.307212007604648 -0.241989519567753 0.962259421478957
3 0 30 0.1 0 "CD" "gamma10" 0.392364790983087 0.0554273508294341 0.283543701482117 0.501185880512967
3 0 30 0.1 0 "CD" "gamma01" 0.289483258812701 0.182949568678915 -0.0683240039328962 0.647290525097898
3 0 30 0.1 0 "LD" "gamma10" 0.338527031776611 0.0660910908915317 0.20872425302073 0.468329810610537
3 0 30 0.1 0 "LD" "gamma01" 0.348620368670361 0.182284118976624 -0.00804123879597887 0.704795297863852
3 0 30 0.1 0 "MI-R" "gamma10" 0.347802456365772 0.0665704108689088 0.215395310023121 0.480209602708424
3 0 30 0.1 0 "MI-R" "gamma01" 0.285079467594502 0.185834334932731 -0.080233207578289 0.650392142767292
3 0 30 0.1 0 "MI-a" "gamma10" 0.347802456365772 0.0665704108689088 -0.13901100303764 0.834615915769185
3 0 30 0.1 0 "MI-a" "gamma01" 0.285079467594502 0.185834334932731 -0.668965866209656 1.23912480139866
3 0 30 0.1 0 "bayes" "gamma10" 0.358266481150095 0.0633410076373507 0.234120387436411 0.482412574863778
3 0 30 0.1 0 "bayes" "gamma01" 0.26004634346341 0.21705960114944 -0.165382657288121 0.685475344214941
4 0.3 30 0.1 0 "CD" "gamma10" 0.275983934268504 0.0577197115448862 0.162662229298409 0.389305639268693
4 0.3 30 0.1 0 "CD" "gamma01" 0.330977585215244 0.168276598506653 0.00186727711706892 0.660087896569132
4 0.3 30 0.1 0 "LD" "gamma10" 0.329516908225018 0.0663323542834277 0.199159714379759 0.459874102145675
4 0.3 30 0.1 0 "LD" "gamma01" 0.115500903546938 0.15854010023206 -0.194308461041891 0.425684689238022
4 0.3 30 0.1 0 "MI-R" "gamma10" 0.333186458005595 0.0699343692415353 0.193566245231773 0.472806670779416
4 0.3 30 0.1 0 "MI-R" "gamma01" 0.129372431008771 0.185462562573601 -0.235136624658253 0.493881486675794
4 0.3 30 0.1 0 "MI-a" "gamma10" 0.333186458005595 0.0699343692415353 -0.237187391658499 0.903560307669689
4 0.3 30 0.1 0 "MI-a" "gamma01" 0.129372431008771 0.185462562573601 -0.81579350054192 1.07453836255946
4 0.3 30 0.1 0 "bayes" "gamma10" 0.347792219652978 0.066329149140359 0.217789476212689 0.477794963093268
4 0.3 30 0.1 0 "bayes" "gamma01" 0.162932447785469 0.188670621594185 -0.206855175479918 0.532720071050857
5 0 60 0.1 0 "CD" "gamma10" 0.37910891630976 0.0429847442631365 0.294788492289575 0.463429340335727
5 0 60 0.1 0 "CD" "gamma01" -0.072774430609911 0.11606322178134 -0.300058842765526 0.154509982479972
5 0 60 0.1 0 "LD" "gamma10" 0.365442309334546 0.0543100730560476 0.258867102961391 0.472017515723522
5 0 60 0.1 0 "LD" "gamma01" -0.0921439226693441 0.114463605948674 -0.317056377126388 0.131394632071916
5 0 60 0.1 0 "MI-R" "gamma10" 0.359346101343353 0.0545580219294457 0.250842857616783 0.467849345069924
5 0 60 0.1 0 "MI-R" "gamma01" -0.0355634827645783 0.106245458058896 -0.244104760092756 0.172977794563599
5 0 60 0.1 0 "MI-a" "gamma10" 0.359346101343353 0.0545580219294457 -0.0384054726387801 0.757097675325487
5 0 60 0.1 0 "MI-a" "gamma01" -0.0355634827645783 0.106245458058896 -0.548809148508105 0.477682182978948
5 0 60 0.1 0 "bayes" "gamma10" 0.355990283854041 0.0540125414483242 0.250127647901849 0.461852919806234
5 0 60 0.1 0 "bayes" "gamma01" -0.0553831913483018 0.124425600953759 -0.299252887972422 0.188486505275818
6 0.3 60 0.1 0 "CD" "gamma10" 0.317559959436321 0.0389997284955202 0.241056685939005 0.394063232938862
6 0.3 60 0.1 0 "CD" "gamma01" 0.450373168193653 0.104262394354588 0.246198095190763 0.654548242035913
6 0.3 60 0.1 0 "LD" "gamma10" 0.32197320510663 0.049955243252494 0.223950765258811 0.419995644968516
6 0.3 60 0.1 0 "LD" "gamma01" 0.390683141535575 0.102097861279359 0.191327954906289 0.591497280076133
6 0.3 60 0.1 0 "MI-R" "gamma10" 0.313569102067745 0.0446623979617288 0.225728999100054 0.401409205035436
6 0.3 60 0.1 0 "MI-R" "gamma01" 0.39087030343528 0.119225409171805 0.156259075874661 0.625481530995899
6 0.3 60 0.1 0 "MI-a" "gamma10" 0.313569102067745 0.0446623979617288 0.0802524404967784 0.546885763638711
6 0.3 60 0.1 0 "MI-a" "gamma01" 0.39087030343528 0.119225409171805 -0.243339001108807 1.02507960797937
6 0.3 60 0.1 0 "bayes" "gamma10" 0.312436429430342 0.0460824979842427 0.222116393063587 0.402756465797097
6 0.3 60 0.1 0 "bayes" "gamma01" 0.412396224438536 0.121049253811215 0.175144046613108 0.649648402263965
7 0 15 0.3 0 "CD" "gamma10" 0.309100199576025 0.0800451186263386 0.151678236188669 0.466522163119605
7 0 15 0.3 0 "CD" "gamma01" -0.253260450651079 0.526907321307086 -1.27963736001826 0.77311645513671
7 0 15 0.3 0 "LD" "gamma10" 0.332249250310789 0.116328363733917 0.103004615101399 0.561493886055706
7 0 15 0.3 0 "LD" "gamma01" -0.61144557721418 0.482364881167828 -1.55103190785026 0.328114013314083
7 0 15 0.3 0 "MI-R" "gamma10" 0.274932869814287 0.0971413373874317 0.0836067639198616 0.466258975708712
7 0 15 0.3 0 "MI-R" "gamma01" -0.607655801349291 0.537985619981189 -1.67183377690207 0.456522174203489
7 0 15 0.3 0 "MI-a" "gamma10" 0.274932869814287 0.0971413373874317 -0.257293181523169 0.807158921151743
7 0 15 0.3 0 "MI-a" "gamma01" -0.607655801349291 0.537985619981189 -3.96601646944821 2.75070486674963
7 0 15 0.3 0 "bayes" "gamma10" 0.278936346469397 0.104110004957639 0.0748844863221367 0.482988206616656
7 0 15 0.3 0 "bayes" "gamma01" -0.585095528845947 0.578101611926999 -1.71815386762742 0.547962809935522
8 0.3 15 0.3 0 "CD" "gamma10" 0.185223719462812 0.0732064872233304 0.0412510558931538 0.329196383175344
8 0.3 15 0.3 0 "CD" "gamma01" 0.416481485391222 0.40615636827264 -0.374681414554518 1.20764438257781
8 0.3 15 0.3 0 "LD" "gamma10" 0.122465799123067 0.0874927838033107 -0.0498097965435983 0.294741395117814
8 0.3 15 0.3 0 "LD" "gamma01" 0.519709296709682 0.411892071938392 -0.282775921492817 1.32191821563037
8 0.3 15 0.3 0 "MI-R" "gamma10" 0.124045525322196 0.0746695628745025 -0.0224766199909653 0.270567670635357
8 0.3 15 0.3 0 "MI-R" "gamma01" 0.448566967923094 0.422595117067802 -0.380368985362974 1.27750292120916
8 0.3 15 0.3 0 "MI-a" "gamma10" 0.124045525322196 0.0746695628745025 -0.231884182057205 0.479975232701597
8 0.3 15 0.3 0 "MI-a" "gamma01" 0.448566967923094 0.422595117067802 -1.52617074256933 2.42330467841552
8 0.3 15 0.3 0 "bayes" "gamma10" 0.111316161337886 0.0850792620082341 -0.0554361280294996 0.278068450705272
8 0.3 15 0.3 0 "bayes" "gamma01" 0.304318336261359 0.607278474143138 -0.88592560164563 1.49456227416835
9 0 30 0.3 0 "CD" "gamma10" 0.300299569660907 0.056871753070375 0.188642670330575 0.411956469020891
9 0 30 0.3 0 "CD" "gamma01" -0.191210380633429 0.20695123977347 -0.595959389185062 0.213538631922223
9 0 30 0.3 0 "LD" "gamma10" 0.302114232637169 0.071080664722614 0.162411915634647 0.441816549730605
9 0 30 0.3 0 "LD" "gamma01" -0.0461742241439168 0.195358240578824 -0.428396683723323 0.335846824092595
9 0 30 0.3 0 "MI-R" "gamma10" 0.328616350648697 0.0705419818080474 0.187672819464126 0.469559881833269
9 0 30 0.3 0 "MI-R" "gamma01" -0.185312112581457 0.198299976484094 -0.574005244312168 0.203381019149255
9 0 30 0.3 0 "MI-a" "gamma10" 0.328616350648697 0.0705419818080474 -0.260190309768443 0.917423011065838
9 0 30 0.3 0 "MI-a" "gamma01" -0.185312112581457 0.198299976484094 -1.05983603751567 0.689211812352756
9 0 30 0.3 0 "bayes" "gamma10" 0.314179812763089 0.066544612734167 0.183754768438957 0.444604857087222
9 0 30 0.3 0 "bayes" "gamma01" -0.210209108501708 0.203437230948323 -0.608938754274978 0.188520537271563
10 0.3 30 0.3 0 "CD" "gamma10" 0.324830917250419 0.057137511645402 0.212652250973668 0.437009583556975
10 0.3 30 0.3 0 "CD" "gamma01" 0.218065852214224 0.181242242771868 -0.136402261466217 0.572533969401201
10 0.3 30 0.3 0 "LD" "gamma10" 0.382402501331147 0.0693524213614158 0.246158629499451 0.518646373236836
10 0.3 30 0.3 0 "LD" "gamma01" 0.20261003627931 0.185565217182088 -0.160900730545743 0.565018096761041
10 0.3 30 0.3 0 "MI-R" "gamma10" 0.395210945871163 0.0697967313728256 0.256389863771174 0.534032027971151
10 0.3 30 0.3 0 "MI-R" "gamma01" 0.201287763174851 0.198866298161614 -0.188694752902096 0.591270279251798
10 0.3 30 0.3 0 "MI-a" "gamma10" 0.395210945871163 0.0697967313728256 -0.114862342275257 0.905284234017583
10 0.3 30 0.3 0 "MI-a" "gamma01" 0.201287763174851 0.198866298161614 -0.713282284428069 1.11585781077777
10 0.3 30 0.3 0 "bayes" "gamma10" 0.386311657914279 0.0698671871152224 0.249374487467322 0.523248828361236
10 0.3 30 0.3 0 "bayes" "gamma01" 0.211161239531558 0.204058844230227 -0.188786745886556 0.611109224949672
11 0 60 0.3 0 "CD" "gamma10" 0.281687725569904 0.0460640873968244 0.191326750970435 0.372048700175574
11 0 60 0.3 0 "CD" "gamma01" 0.19040583194374 0.142522295819362 -0.0886928824049291 0.469504547439737
11 0 60 0.3 0 "LD" "gamma10" 0.294612287840285 0.0599168602972267 0.177007408304942 0.412217167393736
11 0 60 0.3 0 "LD" "gamma01" 0.245886577941793 0.131774795007286 -0.0128726182894426 0.503457022633856
11 0 60 0.3 0 "MI-R" "gamma10" 0.267529616870246 0.056631720592213 0.1548254768932 0.380233756847292
11 0 60 0.3 0 "MI-R" "gamma01" 0.246081278780834 0.136732647497216 -0.0219964170251256 0.514158974586794
11 0 60 0.3 0 "MI-a" "gamma10" 0.267529616870246 0.056631720592213 -0.153539542766379 0.688598776506872
11 0 60 0.3 0 "MI-a" "gamma01" 0.246081278780834 0.136732647497216 -0.372591426264095 0.864753983825763
11 0 60 0.3 0 "bayes" "gamma10" 0.27929299159908 0.0544273978874095 0.172617251967526 0.385968731230634
11 0 60 0.3 0 "bayes" "gamma01" 0.228217161745378 0.143256909882162 -0.0525612221601598 0.508995545650917
12 0.3 60 0.3 0 "CD" "gamma10" 0.329903520998334 0.0403642545083663 0.250723544025536 0.409083497976553
12 0.3 60 0.3 0 "CD" "gamma01" 0.241117991369869 0.114273594565994 0.0173381757242647 0.464897807935388
12 0.3 60 0.3 0 "LD" "gamma10" 0.292712738899745 0.0490584582100685 0.196439589089088 0.388985888724274
12 0.3 60 0.3 0 "LD" "gamma01" 0.284048408322161 0.121101489508396 0.0467254647339442 0.521106297202061
12 0.3 60 0.3 0 "MI-R" "gamma10" 0.302077446047609 0.0439041020786647 0.215857529722817 0.388297362372402
12 0.3 60 0.3 0 "MI-R" "gamma01" 0.271984409842605 0.122107266232191 0.0324938099615505 0.511475009723659
12 0.3 60 0.3 0 "MI-a" "gamma10" 0.302077446047609 0.0439041020786647 0.0852568751927945 0.518898016902424
12 0.3 60 0.3 0 "MI-a" "gamma01" 0.271984409842605 0.122107266232191 -0.294787195007189 0.838756014692398
12 0.3 60 0.3 0 "bayes" "gamma10" 0.289640612081384 0.0476495123963054 0.196249283903731 0.383031940259038
12 0.3 60 0.3 0 "bayes" "gamma01" 0.278309905194755 0.125389359174562 0.0325512771680555 0.524068533221454
13 0 15 0.1 0.3 "CD" "gamma10" 0.274565133320194 0.0810682867603583 0.115130940624929 0.433999326173674
13 0 15 0.1 0.3 "CD" "gamma01" 0.0165699248236127 0.269916319203283 -0.509207317079929 0.542347164893537
13 0 15 0.1 0.3 "LD" "gamma10" 0.251782405251983 0.0925970781533332 0.0694401814451609 0.434124629437966
13 0 15 0.1 0.3 "LD" "gamma01" 0.112740903934116 0.354716181936181 -0.575660988057516 0.806789419082083
13 0 15 0.1 0.3 "MI-R" "gamma10" 0.305607654132069 0.0765800783040916 0.155290816729722 0.455924491534415
13 0 15 0.1 0.3 "MI-R" "gamma01" -0.090093642763297 0.287391862386493 -0.653589531519514 0.47340224599292
13 0 15 0.1 0.3 "MI-a" "gamma10" 0.305607654132069 0.0765800783040916 -0.0647273477845904 0.675942656048727
13 0 15 0.1 0.3 "MI-a" "gamma01" -0.090093642763297 0.287391862386493 -1.39713617072906 1.21694888520247
13 0 15 0.1 0.3 "bayes" "gamma10" 0.252758172625795 0.0902556500332941 0.0758603491592872 0.429655996092303
13 0 15 0.1 0.3 "bayes" "gamma01" -0.143785855295905 0.363910220534282 -0.857036781149126 0.569465070557315
14 0.3 15 0.1 0.3 "CD" "gamma10" 0.397930846439572 0.0825056267829903 0.235669887133974 0.560191805906193
14 0.3 15 0.1 0.3 "CD" "gamma01" 0.0247578302509718 0.289358852008308 -0.538892052012568 0.588407710550295
